version,num_workers,ntowns,seed,seq_threshold,time_secs
0,1,19,25,0,166.92009
0,1,19,25,0,167.05844
0,1,19,25,0,167.48024
0,1,19,25,0,167.29002
0,1,19,25,0,167.03244
0,1,19,25,0,167.38431
1,1,19,25,6,176.04688
1,1,19,25,6,176.41254
1,1,19,25,6,176.08868
1,1,19,25,6,176.22578
1,1,19,25,6,176.45094
1,1,19,25,6,176.24197
1,2,19,25,6,88.11771
1,2,19,25,6,88.19256
1,2,19,25,6,88.18877
1,2,19,25,6,88.329285
1,2,19,25,6,88.121254
1,2,19,25,6,88.141914
1,4,19,25,6,44.06082
1,4,19,25,6,44.04622
1,4,19,25,6,44.086544
1,4,19,25,6,44.046432
1,4,19,25,6,44.09485
1,4,19,25,6,44.161892
1,8,19,25,6,22.087746
1,8,19,25,6,22.060099
1,8,19,25,6,22.065716
1,8,19,25,6,22.080418
1,8,19,25,6,22.090744
1,8,19,25,6,22.104902
1,16,19,25,6,11.214149
1,16,19,25,6,11.203271
1,16,19,25,6,11.221374
1,16,19,25,6,11.206626
1,16,19,25,6,11.209429
1,16,19,25,6,11.20081
1,32,19,25,6,5.636846
1,32,19,25,6,5.64149
1,32,19,25,6,5.6479425
1,32,19,25,6,5.6509314
1,32,19,25,6,5.650901
1,32,19,25,6,5.6402893
1,48,19,25,6,3.824253
1,48,19,25,6,3.8396015
1,48,19,25,6,3.8229496
1,48,19,25,6,3.8577867
1,48,19,25,6,3.8423617
1,48,19,25,6,3.8346465
1,64,19,25,6,2.9835262
1,64,19,25,6,3.011912
1,64,19,25,6,2.9984868
1,64,19,25,6,2.9967449
1,64,19,25,6,2.9952059
1,64,19,25,6,3.0223627
1,80,19,25,6,2.552939
1,80,19,25,6,2.5695376
1,80,19,25,6,2.587651
1,80,19,25,6,2.5608764
1,80,19,25,6,2.5583148
1,80,19,25,6,2.5967
1,96,19,25,6,2.2322562
1,96,19,25,6,2.2561564
1,96,19,25,6,2.2727945
1,96,19,25,6,2.2468069
1,96,19,25,6,2.2718155
1,96,19,25,6,2.2568464
1,112,19,25,6,2.0490217
1,112,19,25,6,2.018174
1,112,19,25,6,2.0087118
1,112,19,25,6,2.0260797
1,112,19,25,6,2.033131
1,112,19,25,6,2.060854
1,128,19,25,6,1.902499
1,128,19,25,6,1.8934929
1,128,19,25,6,1.8613796
1,128,19,25,6,1.9035745
1,128,19,25,6,1.8614318
1,128,19,25,6,1.8598125
2,1,19,25,6,166.88727
2,1,19,25,6,166.27876
2,1,19,25,6,166.78934
2,1,19,25,6,166.3722
2,1,19,25,6,166.90236
2,1,19,25,6,166.34131
2,2,19,25,6,83.169525
2,2,19,25,6,83.26926
2,2,19,25,6,83.21091
2,2,19,25,6,83.16843
2,2,19,25,6,83.46774
2,2,19,25,6,83.16899
2,4,19,25,6,41.576214
2,4,19,25,6,41.576294
2,4,19,25,6,41.724323
2,4,19,25,6,41.74606
2,4,19,25,6,41.603386
2,4,19,25,6,41.64737
2,8,19,25,6,20.800936
2,8,19,25,6,20.82412
2,8,19,25,6,20.804413
2,8,19,25,6,20.797804
2,8,19,25,6,20.798365
2,8,19,25,6,20.808676
2,16,19,25,6,10.582948
2,16,19,25,6,10.58222
2,16,19,25,6,10.584346
2,16,19,25,6,10.557004
2,16,19,25,6,10.576848
2,16,19,25,6,10.592046
2,32,19,25,6,5.284645
2,32,19,25,6,5.297835
2,32,19,25,6,5.2976403
2,32,19,25,6,5.304797
2,32,19,25,6,5.299112
2,32,19,25,6,5.2913847
2,48,19,25,6,3.5776153
2,48,19,25,6,3.5782454
2,48,19,25,6,3.582305
2,48,19,25,6,3.5718098
2,48,19,25,6,3.5794363
2,48,19,25,6,3.580447
2,64,19,25,6,2.8140588
2,64,19,25,6,2.8179114
2,64,19,25,6,2.7995834
2,64,19,25,6,2.8150146
2,64,19,25,6,2.7972064
2,64,19,25,6,2.815719
2,80,19,25,6,2.3850043
2,80,19,25,6,2.3938255
2,80,19,25,6,2.4030318
2,80,19,25,6,2.387443
2,80,19,25,6,2.387451
2,80,19,25,6,2.390353
2,96,19,25,6,2.0939577
2,96,19,25,6,2.1093972
2,96,19,25,6,2.0962026
2,96,19,25,6,2.0917132
2,96,19,25,6,2.1010306
2,96,19,25,6,2.0930138
2,112,19,25,6,1.8861846
2,112,19,25,6,1.8886683
2,112,19,25,6,1.8931099
2,112,19,25,6,1.8892528
2,112,19,25,6,1.8892815
2,112,19,25,6,1.8889757
2,128,19,25,6,1.7268991
2,128,19,25,6,1.723244
2,128,19,25,6,1.7284677
2,128,19,25,6,1.7344583
2,128,19,25,6,1.7369742
2,128,19,25,6,1.7175496
7,1,19,25,6,170.50583
7,1,19,25,6,170.42311
7,1,19,25,6,170.76193
7,1,19,25,6,169.78941
7,1,19,25,6,174.18323
7,1,19,25,6,170.4245
10,1,19,25,0,174.872818385
10,1,19,25,0,174.894426222
10,1,19,25,0,175.196232419
10,1,19,25,0,175.119330557
10,1,19,25,0,175.031251358
10,1,19,25,0,175.346102482
11,1,19,25,6,175.220706637
11,1,19,25,6,174.953443446
11,1,19,25,6,175.016000504
11,1,19,25,6,175.023315904
11,1,19,25,6,176.032293346
11,1,19,25,6,176.120704220
11,2,19,25,6,90.914069028
11,2,19,25,6,90.737402852
11,2,19,25,6,90.727808086
11,2,19,25,6,90.743305348
11,2,19,25,6,90.724423824
11,2,19,25,6,90.793745535
11,4,19,25,6,45.407253368
11,4,19,25,6,45.365011005
11,4,19,25,6,45.359684439
11,4,19,25,6,45.347402341
11,4,19,25,6,45.353034451
11,4,19,25,6,45.357545064
11,8,19,25,6,22.708801095
11,8,19,25,6,22.691180688
11,8,19,25,6,22.682382945
11,8,19,25,6,22.688158047
11,8,19,25,6,22.696096925
11,8,19,25,6,22.685086006
11,16,19,25,6,12.082349803
11,16,19,25,6,11.520694014
11,16,19,25,6,11.521428025
11,16,19,25,6,11.522997702
11,16,19,25,6,11.515768698
11,16,19,25,6,11.520186049
11,32,19,25,6,5.765630948
11,32,19,25,6,5.773283665
11,32,19,25,6,5.774513331
11,32,19,25,6,5.767299738
11,32,19,25,6,5.775291874
11,32,19,25,6,5.775595543
11,48,19,25,6,3.888274650
11,48,19,25,6,3.889777795
11,48,19,25,6,3.887355272
11,48,19,25,6,3.894643028
11,48,19,25,6,3.887926929
11,48,19,25,6,3.886494427
11,64,19,25,6,3.012649670
11,64,19,25,6,3.018295318
11,64,19,25,6,3.010037143
11,64,19,25,6,3.011839267
11,64,19,25,6,3.013312340
11,64,19,25,6,3.015724791
11,80,19,25,6,2.567735436
11,80,19,25,6,2.557845284
11,80,19,25,6,2.554558076
11,80,19,25,6,2.558239306
11,80,19,25,6,2.552929688
11,80,19,25,6,2.564330016
11,96,19,25,6,2.234249739
11,96,19,25,6,2.236920248
11,96,19,25,6,2.250010755
11,96,19,25,6,2.238016120
11,96,19,25,6,2.237953439
11,96,19,25,6,2.247824770
11,112,19,25,6,2.007923006
11,112,19,25,6,2.007208114
11,112,19,25,6,2.007618157
11,112,19,25,6,2.004099939
11,112,19,25,6,2.007563845
11,112,19,25,6,2.013178397
11,128,19,25,6,1.838353828
11,128,19,25,6,1.844937409
11,128,19,25,6,1.843919289
11,128,19,25,6,1.843039991
11,128,19,25,6,1.842434253
11,128,19,25,6,1.846674953
12,1,19,25,6,166.200856795
12,1,19,25,6,166.546184270
12,1,19,25,6,166.370304682
12,1,19,25,6,165.857768885
12,1,19,25,6,165.720251034
12,1,19,25,6,165.828486465
12,2,19,25,6,82.830156563
12,2,19,25,6,82.911808239
12,2,19,25,6,83.158503317
12,2,19,25,6,82.962832139
12,2,19,25,6,83.124875650
12,2,19,25,6,82.889225034
12,4,19,25,6,41.466714439
12,4,19,25,6,41.380219729
12,4,19,25,6,41.397130212
12,4,19,25,6,41.479088847
12,4,19,25,6,41.365354650
12,4,19,25,6,41.377461523
12,8,19,25,6,20.715506741
12,8,19,25,6,20.717095160
12,8,19,25,6,20.704197483
12,8,19,25,6,20.732468877
12,8,19,25,6,20.741660992
12,8,19,25,6,20.703507282
12,16,19,25,6,10.528358430
12,16,19,25,6,10.505754738
12,16,19,25,6,10.507772551
12,16,19,25,6,10.510882975
12,16,19,25,6,10.509776231
12,16,19,25,6,10.508144431
12,32,19,25,6,5.383575962
12,32,19,25,6,5.321615667
12,32,19,25,6,5.337380250
12,32,19,25,6,5.333888362
12,32,19,25,6,5.317056038
12,32,19,25,6,5.327282690
12,48,19,25,6,3.625893622
12,48,19,25,6,3.624650074
12,48,19,25,6,3.646554124
12,48,19,25,6,3.637848018
12,48,19,25,6,3.646620646
12,48,19,25,6,3.645360047
12,64,19,25,6,2.873718392
12,64,19,25,6,2.864823700
12,64,19,25,6,2.889207676
12,64,19,25,6,2.920157482
12,64,19,25,6,2.864937503
12,64,19,25,6,2.871329279
12,80,19,25,6,2.469296790
12,80,19,25,6,2.457881441
12,80,19,25,6,2.434848987
12,80,19,25,6,2.456069295
12,80,19,25,6,2.460784130
12,80,19,25,6,2.459081217
12,96,19,25,6,2.194865644
12,96,19,25,6,2.185328083
12,96,19,25,6,2.192109490
12,96,19,25,6,2.170430727
12,96,19,25,6,2.199982151
12,96,19,25,6,2.197572837
12,112,19,25,6,1.988795661
12,112,19,25,6,1.987284374
12,112,19,25,6,1.992336289
12,112,19,25,6,2.001826799
12,112,19,25,6,1.993602478
12,112,19,25,6,1.988979366
12,128,19,25,6,1.868470149
12,128,19,25,6,1.857206025
12,128,19,25,6,1.877313260
12,128,19,25,6,1.857166504
12,128,19,25,6,1.850675126
12,128,19,25,6,1.856439721
